ISO,nombreRegion,numNorteSur,numTradicional,Lat,Lon
CL-AP,Arica y Parinacota,1,15,-18.539468,-69.714608
CL-TA,Tarapacá,2,1,-20.099081,-69.456921
CL-AN,Antofagasta,3,2,-23.446309,-68.998489
CL-AT,Atacama,4,3,-27.648325,-70.432532
CL-CO,Coquimbo,5,4,-30.540377,-70.967739
CL-VS,Valparaíso,6,5,-32.740869,-71.404539
CL-RM,Metropolitana,7,13,-33.478729,-70.590026
CL-LI,O’Higgins,8,6,-34.434588,-71.154459
CL-ML,Maule,9,7,-35.500972,-71.727129
CL-NB,Ñuble,10,16,-36.60281,-72.073119
CL-BI,Biobío,11,8,-37.225612,-73.108534
CL-AR,Araucanía,12,9,-38.782228,-72.543252
CL-LR,Los Ríos,13,14,-39.922539,-72.588985
CL-LL,Los Lagos,14,10,-42.046638,-73.008764
CL-AI,Aysén,15,11,-46.035339,-73.036435
CL-MA,Magallanes,16,12,-51.902416,-73.244018
